Unnamed: 0,season,firstName,lastName,position,origin,destination,positionType
1639,2022,Chris,Edmonds,S,Samford,Arizona State,Defense
1640,2022,Kaden,Meredith,RB,Air Force,Sam Houston State,Offense
1641,2022,Kyler,Pearson,WR,Kansas,,Offense
1642,2022,Jarrett,Paul,S,Eastern Michigan,Kansas,Defense
1643,2022,Nason,Simmons,OT,Arkansas State,,Offense
1644,2022,Mitchell,Agude,DL,UCLA,Miami,Defense
1645,2022,Micah,Leon,QB,Connecticut,,Offense
1646,2022,Raylen,Sharpe,WR,Houston,,Offense
1647,2022,Curtis,Harper,DL,Syracuse,Akron,Defense
1648,2022,Ahmari,Harvey,S,Auburn,Georgia Tech,Defense
1649,2022,Syr,Riley,IOL,Washington State,,Offense
1650,2022,Heron,Maurisseau,WR,Connecticut,,Offense
1651,2022,George,Tarlas,DL,Weber State,Boise State,Defense
1652,2022,Diamante,Howard,LB,Florida Atlantic,,Defense
1653,2022,Isaac,Owusu-Appiah,OT,Coastal Carolina,,Offense
1654,2022,JT,Towers,LB,Arkansas,,Defense
1655,2022,Isaiah,Stephens,LB,Coastal Carolina,,Defense
1656,2022,Hunter,Marcom,TE,Central Michigan,,Offense
1657,2022,Avery,Morrow,RB,Nevada,Colorado State,Offense
1658,2022,Perry,Carter,WR,Louisiana Monroe,,Offense
1659,2022,Carson,Baker,QB,Western Kentucky,,Offense
1660,2022,Tyler,Johnson,IOL,Texas,Houston,Offense
1661,2022,Nick,Hartnett,IOL,VMI,Buffalo,Offense
1662,2022,Daiyan,Henley,LB,Nevada,Washington State,Defense
1663,2022,Chigozie,Anusiem,CB,California,Colorado State,Defense
1664,2022,Wilburn,Smallwood,EDGE,Stephen F. Austin,,Defense
1665,2022,Kevin,Ryan,P,Idaho State,Washington,Special
1666,2022,Damon,Gentry Jr.,CB,New Mexico,,Defense
1667,2022,Jeffery,Johnson,DL,Tulane,Oklahoma,Defense
1668,2022,Jacobi,Moore,WR,Mississippi State,Ole Miss,Offense
1669,2022,Zach,Calzada,QB,Texas A&M,Auburn,Offense
1670,2022,Dante,Walker,EDGE,Western Kentucky,Western Kentucky,Defense
1671,2022,Drew,Rawls,CB,Utah,,Defense
1672,2022,EJ,Jenkins,TE,South Carolina,Georgia Tech,Offense
1673,2022,Ryan,Coe,K,Delaware,Cincinnati,Special
1674,2022,Ezeriah,Anderson,WR,Iowa State,Campbell,Offense
1675,2022,Winston,Wright,WR,West Virginia,Florida State,Offense
1676,2022,Henry,Colombi,QB,Texas Tech,Marshall,Offense
1677,2022,Ty,Buchanan,IOL,USC,Texas Tech,Offense
1678,2022,Chance,Johnson,S,San José State,,Defense
1679,2022,Dre,Terry,EDGE,East Carolina,Alabama A&M,Defense
1680,2022,Cameron,Roseman-Sinclair,S,North Carolina,,Defense
1681,2022,Spencer,Gilbert,LB,USC,,Defense
1682,2022,Trea,Shropshire,WR,UAB,,Offense
1683,2022,Kenneth,Dotson,DL,North Texas,,Defense
1684,2022,Chris,Shearin,CB,Missouri,,Defense
1685,2022,Timar,Rogers,LB,Mississippi State,Middle Tennessee,Defense
1686,2022,DeZaun,Brooks,DL,Eastern Michigan,,Defense
1687,2022,Wendell,Davis,LB,Pittsburgh,Northwestern,Defense
1688,2022,Wilton,Gaby,RB,Coastal Carolina,,Offense
1689,2022,Ray,Curry Jr.,OT,Arkansas,,Offense
1690,2022,Stephen,Gosnell,WR,North Carolina,Virginia Tech,Offense
1691,2022,Amani,Gilmore,QB,North Texas,,Offense
1692,2022,Deondrick,Speight,OLB,Connecticut,,Defense
1693,2022,Tres,Barboza,OT,UTEP,Connecticut,Offense
1694,2022,Landon,Guidry,S,Mississippi State,Samford,Defense
1695,2022,Bryce,McNair,OT,Ohio,,Offense
1696,2022,Quincy,Riley,CB,Middle Tennessee,Louisville,Defense
1697,2022,Tony,Amerson,RB,Georgia Tech,,Offense
1698,2022,Johnny,Wilson,WR,Arizona State,Florida State,Offense
1699,2022,Kyran,Griffin,WR,Troy,,Offense
1700,2022,Tate,Heitmeier,IOL,Texas State,,Offense
1701,2022,Xazavian,Valladay,RB,Wyoming,Arizona State,Offense
1702,2022,Jeremiah,Houston,CB,UNLV,,Defense
1703,2022,Aidan,Bouman,QB,Iowa State,,Offense
1704,2022,Frank,Boyd,RB,Liberty,Norfolk State,Offense
1705,2022,Joseph,Charleston,S,Clemson,Missouri,Defense
1706,2022,Braxton,Barker,QB,Alabama,,Offense
