firstName|lastName|positionType|origin|destination
Khaya|Wright|Defense|Georgia Tech|Florida International
Devin|Drew|Defense|Texas Tech|Nebraska
Will|Albright|Defense|Tennessee|
Thor|Canales|Defense|Arizona|
Isaiah|Land|Defense|Florida A&M|Florida A&M
Kenny|Bennett|Defense|Maryland|Georgia Tech
Patrick|Jolly|Defense|UCLA|Abilene Christian
Maurice|Freeman|Defense|Indiana|Liberty
Cooper|Darling|Offense|Oregon State|
Sean|Berry|Defense|UT San Antonio|
James|Ohonba|Offense|Michigan State|Louisiana
Zion|Keith|Defense|Wake Forest|
Tayvian|Cunningham|Offense|Arizona|
Je'Mari|Littlejohn|Defense|Appalachian State|
Ian|Hover|Offense|Campbell|Texas State
Marcus|Haskins|Defense|Liberty|Appalachian State
Dee|Beckwith|Offense|Tennessee|Kentucky
Isaiah|Johnson|Defense|Dartmouth|Syracuse
Nadir|Thompson|Defense|Virginia Tech|
Majik|Rector|Offense|Kansas|Central Arkansas
Matt|Polk|Offense|Oklahoma State|
Jaren|Handy|Defense|Indiana|
Isaiah|Winstead|Offense|Toledo|East Carolina
Danny|Corbett|Offense|Campbell|Georgia Southern
Sione|Finau|Offense|BYU|
Dajon|Harrison|Offense|Texas|Connecticut
Marvin|Grant|Defense|Purdue|Kansas
Ma'a|Gaoteote|Defense|Michigan State|
Joachim|Bangda|Offense|Kent State|
Matt|Rosso|Offense|Rutgers|
Leon|Williams|Defense|Kent State|
Hunter|Nabers|Defense|Fresno State|
Chevy|Brenson|Offense|Ball State|
Ethan|Ingram|Offense|Marshall|Georgia Southern
Stacy|Kirby|Defense|South Florida|
Jordan|Young|Offense|Florida State|Florida Atlantic
Cruz|Temple|Defense|East Carolina|Arkansas State
Myles|Cole|Defense|Louisiana Monroe|Texas Tech
Tye|Evans|Offense|Ball State|
Toryque|Bateman|Offense|Troy|
Kelvontay|Dixon|Offense|Texas|SMU
Kamarro|Edmonds|Offense|North Carolina|East Carolina
Andrew|Peasley|Offense|Utah State|Wyoming
Ja'Corey|Hammett|Defense|West Virginia|
Reginald|Neely|Defense|Tulane|
Emmit|Bohle|Offense|Northern State|Arizona State
Russell|Thompson-Bishop|Offense|Syracuse|
Javon|Baker|Offense|Alabama|UCF
Anthony|Nelson|WDE|Harvard|Duke
Sean|Tucker|Defense|East Carolina|Towson
Benjamin|Key|Defense|Missouri|
Ben|Bell|Defense|Louisiana Tech|
JaMichael|Thompson|Offense|Middle Tennessee|
Shemar|Thornton|ATH|Florida International|Northern Illinois
Dylan|Davis|Offense|Furman|Illinois
CJ|Harris|Defense|Arkansas State|
Tyrone|Brown|Defense|Baylor|
Billy|Edwards|Offense|Wake Forest|Maryland
Christopher|Houston|Offense|Charlotte|
Jaret|Frantz|Offense|Ball State|Toledo
Cole|Joyce|Defense|UCF|
Kobe|Lewis|Offense|Central Michigan|Purdue
De'Rickey|Wright|Defense|Vanderbilt|
Bryson|Broadway|Offense|Eastern Illinois|Georgia State
James|Graham|Offense|Georgia Southern|
Robert|McWilliams|Defense|Purdue|Purdue
Malcolm|Terry|Offense|Navy|
Nick|Okeke|Defense|Louisville|Southern Illinois
Antonio|Oliver|Defense|New Mexico State|
Dorian|Plumley|Defense|Oklahoma|
Eleasah|Anderson|Offense|Sam Houston State|Western Michigan
Avarius|Sparrow|Offense|West Virginia|Middle Tennessee
Willie|Allen|Offense|UMass|
Kienen|Gaskin|Defense|Kansas State|
Christian|Gonzalez|Defense|Colorado|Oregon
Jonah|Morris|Offense|Northern Colorado|Illinois
Corey|Kiner|Offense|LSU|Cincinnati
Trevor|Appelman|Offense|New Mexico State|
Mario|Williams|Offense|Oklahoma|USC
Collin|Westfelt|LS|Georgia State|Troy
Lonyatta|Alexander|Offense|Arizona State|Washington
Jerwuan|Thomas|Defense|Ball State|
Jaymar|Mundy|Defense|Miami (OH)|
Hunter|Washington|Defense|Florida State|Mississippi State
Sam|Reynolds|Offense|South Carolina|
Terrell|Jennings|Defense|Minnesota State|Illinois
Kevin|Greene|Defense|North Texas|
Jordan|Mosley|Offense|Northwestern|Mississippi State
Cobe|Bryant|Offense|SMU|UNLV
Kasen|Kinchen|Defense|Washington|
Jarrett|Lucombe|Defense|Western Kentucky|
Jacob|Copeland|Offense|Florida|Maryland
Quentin|Bivens|Defense|Ole Miss|Southern Mississippi
Malik|Wesley|Offense|UNLV|
Andrew|Vaught|Offense|Toledo|
Malik|Williams|Defense|Nebraska|
James|Burns|Offense|Miami (OH)|
Gerry|Bohanon|Offense|Baylor|South Florida
J.J.|Woodin|PRO|North Dakota State|
Kevin|Schaeffer|Offense|Rutgers|
Joseph|Evans|Defense|LSU|UT San Antonio
Billy|Pospisil III|Offense|Washington State|Colorado Mines
Nathaniel|Peat|Offense|Stanford|Missouri
Marcus|Moore|Defense|Louisiana Monroe|
James|Lewis|Defense|New Mexico|
Robbie|Mangas|Offense|Dartmouth|Buffalo
Odua|Isibor|Defense|UCLA|California
Malik|Welch|Defense|San José State|McNeese
Damir|Collins|Offense|Oregon State|Idaho State
Upton|Stout|Defense|North Texas|Western Kentucky
Matt|Robinson|Offense|Illinois|Fresno State
Jahmin|Muse|Defense|Boston College|Buffalo
Austin|Weiner|Offense|Kansas State|Louisiana Monroe
Tim|Patrick|Offense|Utah State|
Shon|Brown|Defense|Coastal Carolina|Elon
Jalynn|Williams|Offense|Toledo|
Emmanuel|Belgrave|Defense|Pittsburgh|
Daymon|David|Defense|Oregon|Oregon
Jordan|Yates|Offense|Georgia Tech|Sam Houston State
Aaron|Washington|Defense|Bowling Green|
Lance|Robinson|Offense|Middle Tennessee|Houston
O'Tay|Baker|Defense|Hawai'i|
Devontae|Davis|Defense|South Carolina|
Hamze|Elzayat|Offense|Fordham|Eastern Michigan
Jordan|Domineck|Defense|Georgia Tech|Arkansas
E.J.|Porter|Defense|Coastal Carolina|
Austin|Reed|Offense|West Florida|Western Kentucky
Xavier|Carlton|Defense|Utah|California
Dematrius|Davis|Offense|Auburn|Alabama State
Evan|Olaes|Offense|Colorado State|
Takulve|Williams|Offense|Kansas|Northern Iowa
Donovan|Manuel|Defense|East Tennessee State|Florida International
Cedric|Hillsman|Defense|Ohio|
Allen|Horace|Offense|UT San Antonio|Navarro College
Will|Honas|Defense|Nebraska|Kansas State
Richard|West|Offense|Texas A&M Commerce|Texas State
Rahmod|Smith|Offense|Florida Atlantic|
Eric|Reed|Defense|Auburn|Georgia Tech
Raiqwon|O'Neal|Offense|Rutgers|UCLA
Chris|Akporoghene|Offense|Tennessee|Tulsa
Kajuan|Robinson|Defense|Memphis|
Brennan|Sweeney|Defense|Iowa|
Ryan|Peppins|Offense|Utah|
Luke|Soto|Offense|UTEP|
Stone|Hollenbach|Offense|Alabama|Western Michigan
LV|Bunkley-Shelton|Offense|Arizona State|Oklahoma
Jahkeem|Green|Defense|South Carolina|Florida Atlantic
Kai-Leon|Herbert|Offense|Miami|
Marquez|Beason|Defense|Illinois|Alabama A&M
Jayhvion|Gipson|Defense|TCU|
Ken|Torain|Defense|Duke|
Jarrick|Bernard|Defense|Oklahoma State|LSU
Casey|Rogers|Defense|Nebraska|Oregon
Jessie|Parson III|Offense|Rutgers|
Eldrick|Robinson II|Defense|Georgia Southern|Wake Forest
Ezra|Dotson-Oyetade|Offense|Arizona State|TCU
Braedon|Wissler|Offense|Utah|
Jayden|Daniels|Offense|Arizona State|LSU
Jordan|Rucker|Defense|North Texas|
Jalen|Curry|Offense|Arizona|Buffalo
Cornelius|Dyson|ATH|Tulane|
Jonnie|Pitman|Defense|Charlotte|
Re-al|Mitchell|Offense|Temple|San Diego
Kamren|Blanton|Defense|UNLV|
Charles|Brown|Offense|Montana State|Texas State
Ty|Lindenman|Offense|Illinois|
Akheem|Mesidor|Defense|West Virginia|Miami
Matthew|Duncan|Offense|Temple|Trinity Valley C.C.
Dylan|Walker|Offense|Colorado State|
Joey|Yellen|Offense|Pittsburgh|Hawai'i
Myron|Warren|Defense|Texas|Texas State
Corey|Robinson II|Offense|Kansas|Georgia Tech
AJ|Davis|Offense|UAB|
Sione|Veikoso|Offense|Arizona State|
Stacy|Brown|Defense|Missouri|
A.J.|Lytton|Defense|Penn State|
Solomon|Turner|Defense|Hawai'i|Illinois
Jay|Hampton|Defense|Mississippi State|Southern Mississippi
Shawn|Gates|Defense|Utah State|
Tyus|Fields|Defense|Tennessee|
Artese|Gregory|Offense|Southern Utah|Buffalo
Donovan|Georges|Defense|Florida International|
Jamar|Simpson|Offense|San José State|Northwest Missouri State
Connor|Vasher|Offense|Savannah State|UMass
Nate|Thompson|Defense|Duke|Akron
Tylan|Morton|Offense|South Alabama|Southwestern Oklahoma
Ethan|Long|Offense|Arizona State|Abilene Christian
Jadarius|Thursby|Defense|SMU|Abilene Christian
Josh|Plohr|Offense|Illinois|
Gabe|Jeudy-Lally|Defense|Vanderbilt|BYU
Dayne|Shor|Offense|Alabama|Connecticut
Kaymar|Mimes|Offense|Pittsburgh|
Wistar|Allen|Defense|East Carolina|
Malik|Matthew|Defense|Syracuse|
Walter|Simmons III|Offense|East Carolina|Bethune-Cookman
CJ|Rogers|Offense|Baylor|Texas State
