firstName|lastName|positionType|origin|destination
Rory|Hanson|Offense|Fresno State|
J.J.|Pegues|Offense|Auburn|Ole Miss
Mataio|Soli|Defense|Arkansas|Hawai'i
Jared|Gibble|Offense|Virginia Tech|Campbell
Khalen|Leonard|Defense|Southern Mississippi|
Cameron|Sims|Defense|Georgia State|Mercer
Andre|Harris Jr.|Offense|Arkansas State|Duke
DJ|Sims|Offense|Virginia Tech|
James|Palmer|Offense|Tulsa|
Caleb|Christensen|Defense|BYU|
Nick|Curtis|Defense|Auburn|
Jeremy|Hunt|Offense|Louisiana Monroe|
Sokoya|McDuffie|Defense|Old Dominion|Connecticut
Cole|Feinauer|Offense|Colorado State|Nevada
Joshua|Pakola|Defense|Stanford|Fresno State
Emmanuel|White|Defense|Charlotte|
Bralyn|Oliver|Defense|Louisville|Syracuse
La'andre|Thomas|Defense|Memphis|
Tyler|Gore|Defense|Georgia State|UT Martin
Gregory|Clayton|Offense|UT San Antonio|
Davontae|McCrae|Defense|North Texas|
Caleb|Berry|Offense|Washington|
Joshua|Carter|ILB|South Alabama|
Jawaun|Johnson|Offense|Louisiana Tech|
Saeed|Holt|Defense|Toledo|
Ro|Torrence|Defense|Auburn|Arizona State
Jermaine|McMillian|Defense|UCF|UMass
Lowell|Narcisse|Offense|UT San Antonio|Nicholls
Caleb|Johnson|Defense|UCLA|Miami
Devlin|Kirklin|Defense|New Mexico State|
Justus|Woods|Offense|Stanford|
Larry|Hodges|Offense|Miami|Middle Tennessee
Diamonte|Tucker-Dorsey|Defense|James Madison|Texas
Bryan|Gagg|Offense|East Carolina|
Tayvion|Robinson|Offense|Virginia Tech|Kentucky
Cole|Brevard|Defense|Penn State|Purdue
Caeleb|Washington|Defense|UMass|Southern Illinois
Donald|McKinney|Offense|San José State|Western Illinois
Nick|D'Ambra|ATH|Western Illinois|Fresno State
Quinn|Ewers|Offense|Ohio State|Texas
Robby|Ashford|Offense|Auburn|Auburn
Terrell|Bynum|Offense|Washington|USC
Conner|Parsons|Offense|Louisiana Monroe|
Brian|Edwards|Defense|Central Michigan|
Kelin|Burrle|Defense|Arkansas|
Grant|Stephens|Offense|Colorado State|Washington State
Tavis|Lee|Defense|West Virginia|
Aaron|Holloway|Offense|UNLV|
Donovan|Eaglin|Offense|Michigan State|
Jalen|Monrrow|Defense|Cincinnati|
Tymon|Mitchell|Defense|Georgia|TCU
Toby|Ndukwe|Defense|SMU|Sam Houston State
Gayflor|Flomo|Offense|Kansas|Concordia University
Ajou|Ajou|Offense|Clemson|South Florida
Austin|Jones|Offense|Stanford|USC
Jeremiah|Lewis|Defense|Duke|
Torrance|Davis|Offense|Kentucky|
Joshua|Sauickie|Offense|Air Force|
Marquis|Robinson|Defense|Auburn|
Ben|VanSumeren|Defense|Michigan State|Michigan State
Sam|Crawford|Offense|Tulsa|Rice
Elijah|Cooks|Offense|Nevada|San José State
Robby|Rochester|Offense|Connecticut|TCU
Stan|Livingstone Jr.|Defense|San José State|Tuskegee
Tyrone|Barber|Defense|South Florida|
Zephaniah|Maea|Defense|Colorado|Southern
Lonnie|Rice|Defense|Buffalo|
Ethon|Williams|Offense|Boston College|Connecticut
Davon|Martin|Defense|Middle Tennessee|
Jayden|Chalmers|Defense|East Carolina|Campbell
Dorian|Hardy|Defense|East Carolina|
Bobby|Cole|Offense|New Mexico|
Cam|Reddy|Offense|Colorado State|Liberty
Terreance|Ellis|Defense|Rice|Alcorn State
Brylan|Lanier|Defense|Alabama|Indiana
Jahquan|Bloomfield|Offense|Louisiana Monroe|
Morven|Joseph|Defense|Tennessee|Florida Atlantic
Raymond|Scott|Defense|USC|Fresno State
Brendan|Tuholski|Offense|UC Davis|
Baylor|Cupp|Offense|Texas A&M|Texas Tech
Owen|Condon|Offense|Georgia|SMU
Raheme|Fuller|Defense|Middle Tennessee|
Brayden|DeVault-Smith|Defense|Vanderbilt|Samford
Isheem|Young|Defense|Iowa State|Ole Miss
Mohamoud|Diabate|Defense|Florida|Utah
Caleb|Williams|Offense|Oklahoma|USC
Omar|Brown|Defense|Northern Iowa|Nebraska
Londyn|Craft|Defense|Mississippi State|
Jarett|Garner|Offense|Duke|East Carolina
Frankie|Burgess|Defense|Maryland|
Patrick|Lucas|Defense|Ole Miss|Indiana
Kaedin|Robinson|Offense|UCF|Appalachian State
Tahliq|Battle|Offense|Buffalo|
Khafre|Brown|Offense|North Carolina|South Florida
Des|Holmes|Offense|Penn State|Arizona State
Gavin|McCabe|Defense|Indiana|
Lacarea|Pleasant-Johnson|Defense|Utah|
Jared|Verse|Defense|Albany|Florida State
A.J.|Davis|Offense|Pittsburgh|James Madison
Nik|Scalzo|Offense|Kentucky|Samford
Grayson|Murphy|Defense|North Texas|UCLA
Jerome|Buckner|Offense|Ohio|
J'Marion|Gooch|Offense|Missouri|
Steele|Dubar|Defense|Colorado|
Jordan|Bennett|Offense|Georgia Southern|
Marcus|McElroy|Offense|Colorado State|McNeese
Rashad|Cheney|Defense|Minnesota|South Florida
Tharon|Davis|Offense|Memphis|
John|Ward|Defense|UCLA|Utah State
Derick|Hunter|Offense|Texas A&M|Hinds C.C.
Cesar|Reyes|Offense|South Florida|
Cade|Beresford|Offense|Washington State|Boise State
Dazalin|Worsham|Offense|Miami|Auburn
Daniel|Johnson|Offense|Kent State|
Wayne|Taulapapa|Offense|Virginia|Washington
Jordan|Eubanks|Defense|Florida State|UNLV
Rashad|Scott|Offense|San Diego State|
Nicholas|Days|Defense|Western Kentucky|
Chase|Mason|Offense|Nebraska|South Dakota State
Zach|Evans|Offense|TCU|Ole Miss
Jalen|Jordan|Defense|Ole Miss|South Alabama
Javien|Clemmer|ATH|New Mexico State|
Isaiah|Esdale|Offense|West Virginia|Rice
Caleb|Chapman|Offense|Texas A&M|Oregon
Peyton|Thompson|Offense|Oklahoma State|Central Oklahoma
Cam'ron|Jones|Defense|SMU|Grambling
Hayes|Crockett|Offense|Louisiana Monroe|
Gerald|Mincey|Offense|Florida|Tennessee
Jordan|Morant|Defense|Michigan|Mississippi State
Luke|Lane|Offense|Indiana|Chattanooga
Grant|Wells|Offense|Marshall|Virginia Tech
Shauntavis|Vardaman|Offense|UAB|
Rosendo|Louis|Defense|South Carolina|
Sherwin|King|Defense|Fresno State|
Osita|Smith|Defense|Maryland|
Da'Veawn|Armstead|Defense|TCU|Sam Houston State
Terion|Sugick|Defense|Vanderbilt|Arkansas State
James|Gordon IV|Defense|Minnesota|South Florida
Anthony|Solomon|Defense|Michigan|Arizona
Cole|Daniels|Defense|South Alabama|
Noah|Taylor|Defense|Virginia|North Carolina
Lejond|Cavazos|Defense|Ohio State|North Carolina
Bryce|Veasley|Offense|Duquesne|
Quavon|Matthews|Offense|Iowa|
Isaac|Garcia|Defense|Fresno State|
Josh|Griffis|Defense|Florida State|Jackson State
Tyler|Barnes|Defense|Southern Mississippi|
Zukudo|Igwenagu|Defense|Rutgers|UMass
Amir|Howard|Defense|Arkansas State|
Charles|Bell VI|Defense|Marshall|Alabama A&M
Spencer|Rolland|Offense|Harvard|North Carolina
Corey|Suttle|Defense|Iowa State|Miami (OH)
Tiyon|Evans|Offense|Tennessee|Louisville
Andrew|Faoliu|WDE|Boise State|
Chris|Miller|Defense|Colorado|
Kaemen|Marley|Offense|Tennessee|
Zxaequan|Reeves|Defense|Missouri|Coastal Carolina
Spencer|Lovell|Offense|Arizona State|California
CJ|Crump|Defense|East Carolina|
Luke|Eckardt|Offense|Arizona|Colorado
DeaMonte|Trayanum|Defense|Arizona State|Ohio State
Billy|Thursland|Offense|Houston|
O'Cyrus|Torrence|Offense|Louisiana|Florida
Kyle|Toole|Offense|Troy|Georgia Southern
Jakari|Robinson|Offense|Memphis|
Justin|Lynch|Offense|Temple|Northern Illinois
VanDarius|Cowan|Defense|West Virginia|Maryland
Tremayne|Prudhomme|Defense|Texas|
Justin|Harrington|Defense|Oklahoma|Oklahoma
Ian|Mathews|Defense|Auburn|Missouri
Isaiah|Velez|Offense|Florida International|
Paul|Tyson|Offense|Alabama|Arizona State
Marcus|Banks|Defense|Alabama|Mississippi State
Jahleel|Billingsley|Offense|Alabama|Texas
Tyler|Days|Defense|Boston College|
Ben|Labrosse|Defense|Syracuse|
Antonio|Fletcher|Defense|Arkansas State|Southern Illinois
Benny|McCray IV|Defense|Florida International|
Deshawn|Holt|Defense|Maryland|Toledo
Kobe|Hudson|Offense|Auburn|UCF
Curtis|Dunlap|Offense|Minnesota|Rutgers
Raiheem|Olalekan|Defense|UMass|
Dee|Wiggins|Offense|Miami|Louisville
Simi|Moala|Offense|Utah|Jackson State
George|Douglas|Defense|Central Michigan|Southern Illinois
Bradley|Jennings Jr.|Defense|Miami|Indiana
Bryson|Smith|Offense|Houston|
Kaulana|Makaula|Defense|USC|Hawai'i
Elijah|Johnson|Offense|Colorado State|
Chris|Conti|Defense|Rutgers|Rice
Akeem|Hayes|Offense|Arkansas State|
John|Hughes|Offense|West Virginia|
Enzo|Jennings|Defense|Penn State|
Rodney|Groce Jr.|Defense|Arizona State|
Elijah|Canion|Offense|Auburn|Purdue
Noah|Cain|Offense|Penn State|LSU
Marcus|Cushnie|Defense|Florida State|UMass
Troy|Lewis|Offense|East Carolina|James Madison
Michael|Trigg|Offense|USC|Ole Miss
Gabe|Reid|Defense|Stanford|Utah
Garnett|Hollis|Defense|Northwestern|Northwestern
Andre|Sam|ATH|McNeese|Marshall
Juwan|Burgess|Defense|Indiana|
Drew|Zaubi|Offense|Western Kentucky|
Malik|Jackson|Offense|Louisiana Monroe|Louisiana Monroe
Jamel|Hamm|Defense|UNLV|
Justin|Weller|Offense|Penn State|
Jonathan|King|Defense|Indiana|Alabama A&M
Keyshawn|Johnson|Defense|Louisiana Monroe|
Terah|Edwards|Defense|Northwestern|Illinois
Larry|Tracy III|Defense|Indiana|Illinois State
Jahmyr|Gibbs|Offense|Georgia Tech|Alabama
Geri|Theodore|Defense|Toledo|
Rodney|Wright III|Offense|Fresno State|
Clyde|Price|Offense|Kansas State|Akron
Terry|Hampton|Defense|Arkansas State|Arkansas
Isaac|Ellis|Offense|Memphis|Louisiana Tech
Knox|Kadum|Offense|Virginia Tech|McNeese
Craig|Burt|Offense|Western Kentucky|Western Kentucky
Seth|Hodges|Defense|Georgia Southern|
Jakovi|Bryant|Defense|Florida International|
TJ|Banks|Offense|West Virginia|Akron
Dylan|Deveney|Offense|Georgia Tech|Pittsburgh
Jamason|Jodway|Offense|Akron|
Jamree|Kromah|Defense|Rutgers|
Tommy|Brown|Offense|Alabama|Colorado
Tee|Hodge|Offense|Tennessee|Indiana State
Sebastien|Dolcine|OG|Florida Atlantic|
Brian|Kilbane Jr|Offense|Bowling Green|
Coye|Fairman|Offense|Memphis|
Shakari|Denson|ATH|Ohio|
CJ|Coldon|Defense|Wyoming|Oklahoma
T.D.|Roof|Defense|Appalachian State|Oklahoma
Jeremy|Mercier|Defense|Utah|Arizona
August|Pitre|Offense|Rice|Ohio
Cam|Johnson|Offense|Vanderbilt|Arizona State
Rae'quin|Lee|Offense|Ball State|
Mason|Brooks|Offense|Western Kentucky|Ole Miss
Joseph|Scates|Offense|Iowa State|Memphis
David|Laney|Defense|East Carolina|North Carolina A&T
Seaburn|Hines|Offense|Georgia Southern|
Cam'Ron|McCoy|Offense|Cincinnati|Eastern Michigan
Angel|King|ATH|Nevada|
Joshia|Davis|Offense|Colorado|Southern Utah
X'Zauvea|Gadlin|Offense|Tulsa|Liberty
Jonathan|Hodoh|Offense|Louisiana Monroe|
Andre|Crump|Offense|San José State|UC Davis
Matt|Valecce|Offense|Colorado State|Albany
Bo|Nix|Offense|Auburn|Oregon
B.J.|Foster|Defense|Texas|Sam Houston State
Jordan|Jernigan|Offense|Ole Miss|
DJ|Warnell|Defense|UCLA|Arizona
Kolby|Phillips|Defense|Tulane|
Tynan|Tucker|Defense|Kent State|
Tyler|Murray|Defense|Charlotte|Memphis
Casey|Tawa|Offense|Rice|
Jalin|Cooper|Offense|Toledo|
Devonni|Reed|Defense|Central Michigan|South Carolina
Carlos|Carriere|Offense|Maryland|Central Michigan
Jakairi|Moses|Offense|Western Kentucky|Western Kentucky
Jacob|Coleman|Offense|East Carolina|Middle Tennessee
McKade|Mettauer|Offense|California|Oklahoma
LeDarrius|Cox|Defense|Ole Miss|Indiana
Marco|Lee|Offense|Virginia Tech|South Alabama
Simi|Bakare|Offense|Missouri|Fresno State
Khoury|Bethley|Defense|Hawai'i|Arizona State
Jacob|Brammer|Offense|North Texas|Vanderbilt
Chris|Martinez|Offense|San Diego State|Arizona State
Justin|Hayes|Defense|Samford|
Teon|Dollard|Offense|Akron|
Kenan|Christon|Offense|USC|San Diego State
Malik|Rodgers|Offense|Tulsa|
Jaymason|Willingham|Defense|Utah State|Portland State
Eric|Shaw|Offense|South Carolina|
Michael|Statham|Offense|Pittsburgh|
Warren|Bryan|DUAL|Air Force|
Justus|Tavai|Defense|Hawai'i|San Diego State
Jakari|Norwood|Offense|Illinois|Temple
Chris|Adimora|Defense|Texas|SMU
Jacob|Cowing|Offense|UTEP|Arizona
Matthew|Anderson|Offense|Louisiana|
Noah|Arinze|Defense|Oklahoma|New Mexico State
Leke|Asenuga|Offense|New Mexico|North Texas
Chris|Murray|Defense|TCU|Sam Houston State
Kyle|Wright|Defense|Georgia State|Tennessee Tech
Michael|Washington|Offense|Buffalo|Buffalo
Slade|Roy|LS|East Carolina|LSU
Julius|Lewis|Defense|Fresno State|Jackson State
Cardavion|Myers|Defense|Western Kentucky|
Fred|Orr|Offense|Tennessee|
Taisun|Phommachanh|Offense|Clemson|Georgia Tech
Chase|Cota|Offense|UCLA|Oregon
Charles|Finley|Offense|West Virginia|
Johnquai|Lewis|Defense|Kansas|McNeese
Cam|Lampkin|Defense|Utah State|Washington State
Larson|Workman|Offense|Kansas|Texas State
Kalen|Villanueva|Defense|Illinois|Louisiana Tech
Davonte|Pritchard|Defense|Kansas State|South Dakota
Tre|Allen|Defense|Georgia Southern|
Kobe|Singleton|ATH|Southern Utah|Liberty
Dayton|Wade|Offense|Western Kentucky|
Danny|Lockhart|Defense|USC|Ole Miss
Alec|Ogden|Offense|Middle Tennessee|
Nick|Bags|Defense|Temple|South Florida
Zeiqui|Lawton|Defense|Cincinnati|West Virginia
Stephon|Zayas|Defense|UCF|
Daniel|Lee|Offense|Buffalo|
Nick|Moore|Offense|Arizona|
Jamie|Pettway|Defense|Missouri|Florida Atlantic
Sean|Dollars|Offense|Oregon|Oregon
Zareon|Hayes|Defense|Appalachian State|Alabama A&M
Tanner|Hollens|ATH|Colorado State|
Shawn|Asbury II|Defense|Boston College|Old Dominion
AJ|Abbott|Offense|Wisconsin|
Justin|Gardner|Defense|Kansas State|
Justin|Moore|Defense|Connecticut|
Larry|Smith III|Defense|Indiana|
Jacques|Hunter|Defense|Vanderbilt|
Asa|Barnes|Offense|East Carolina|Winston-Salem State
Cedrick|Dort|Defense|Kentucky|Wisconsin
Kevin|Williams|Offense|Northern Colorado|Nebraska
Zamari|Maxwell|Defense|UCF|Incarnate Word
Gregory|Desrosiers|ATH|Louisville|UMass
Keaton|Altman|Offense|McNeese|Sam Houston State
Hassan|Hall|Offense|Louisville|Georgia Tech
Chris|Everhart|Offense|Marshall|East Tennessee State
Daniel|Foster-Allen|Defense|Auburn|South Alabama
Bence|Polgar|OG|Buffalo|Missouri
Jay|Maclin|Offense|Missouri|North Texas
Javan|Hawes|Offense|Arkansas State|
Maddox|Kopp|Offense|Houston|Colorado
Walker|Hankinson|Offense|Louisiana Tech|
Lwal|Uguak|Defense|Connecticut|TCU
Brayden|Wood|Defense|Kansas State|Jacksonville State
Cameron|Hairston|Offense|Connecticut|
Tahj|Gary|Offense|Virginia Tech|Tulsa
Ochaun|Mathis|Defense|TCU|Nebraska
Keidron|Smith|Defense|Ole Miss|Kentucky
Jordan|Perryman|Defense|UC Davis|Washington
Chris|Edmonds|Defense|Samford|Arizona State
Kaden|Meredith|Offense|Air Force|Sam Houston State
Kyler|Pearson|Offense|Kansas|
Jarrett|Paul|Defense|Eastern Michigan|Kansas
Jordan|Morris|Defense|Coastal Carolina|Sam Houston State
Javaughn|Williams|Offense|Kent State|
Payne|He'Bert|Offense|Northwestern|UT San Antonio
Timothy|Lawson|Offense|Louisville|
Rowan|McGwin|Offense|Buffalo|
Mar'Keise|Irving|Offense|Minnesota|Oregon
Jehlani|Galloway|Offense|Boston College|Western Michigan
Brady|McBride|Offense|Texas State|Appalachian State
Kameron|Allen|Offense|Michigan State|SMU
Nason|Simmons|Offense|Arkansas State|
Chris|Bacon|Defense|Georgia State|Bowling Green
Antwan|Roberts|Offense|Wisconsin|
Joeseph|Sewell|Offense|Middle Tennessee|
D.J.|Taylor|Defense|Wake Forest|Bowling Green
Marist|Talavou|Offense|Utah|San José State
Amaud|Willis-Dalton|Defense|Houston|
Frank|Ladson|Offense|Clemson|Miami
Mitchell|Agude|Defense|UCLA|Miami
Micah|Leon|Offense|Connecticut|
MJ|Tafisi|Defense|Washington|Utah State
Raylen|Sharpe|Offense|Houston|
Curtis|Harper|Defense|Syracuse|Akron
Ahmari|Harvey|Defense|Auburn|Georgia Tech
Syr|Riley|Offense|Washington State|
Izayah|Green-May|Defense|Wisconsin|Northern Illinois
Heron|Maurisseau|Offense|Connecticut|
George|Tarlas|Defense|Weber State|Boise State
Diamante|Howard|Defense|Florida Atlantic|
Isaac|Owusu-Appiah|Offense|Coastal Carolina|
JT|Towers|Defense|Arkansas|
Isaiah|Stephens|Defense|Coastal Carolina|
Hunter|Marcom|Offense|Central Michigan|
Avery|Morrow|Offense|Nevada|Colorado State
Perry|Carter|Offense|Louisiana Monroe|
Tyler|Johnson|Offense|Texas|Houston
Nick|Hartnett|Offense|VMI|Buffalo
Daiyan|Henley|Defense|Nevada|Washington State
Jahsen|Wint|Defense|Ohio State|
Chigozie|Anusiem|Defense|California|Colorado State
Wilburn|Smallwood|Defense|Stephen F. Austin|
Destin|Coates|Offense|Georgia State|Florida A&M
Jeffery|Johnson|Defense|Tulane|Oklahoma
Jacobi|Moore|Offense|Mississippi State|Ole Miss
Zach|Calzada|Offense|Texas A&M|Auburn
Dante|Walker|Defense|Western Kentucky|Western Kentucky
Drew|Rawls|Defense|Utah|
EJ|Jenkins|Offense|South Carolina|Georgia Tech
Demarcus|Gregory|Offense|South Florida|Texas State
Ezeriah|Anderson|Offense|Iowa State|Campbell
Winston|Wright|Offense|West Virginia|Florida State
Henry|Colombi|Offense|Texas Tech|Marshall
Ty|Buchanan|Offense|USC|Texas Tech
Chance|Johnson|Defense|San José State|
Dre|Terry|Defense|East Carolina|Alabama A&M
Cameron|Roseman-Sinclair|Defense|North Carolina|
Joseph|Manjack|Offense|USC|Houston
Spencer|Gilbert|Defense|USC|
Trea|Shropshire|Offense|UAB|
Carson|Baker|Offense|Western Kentucky|
Kenneth|Dotson|Defense|North Texas|
Kolbe|Fields|Defense|South Carolina|LSU
Timar|Rogers|Defense|Mississippi State|Middle Tennessee
Emani|Bailey|Offense|Louisiana|TCU
Shermond|Dabney|Defense|Bowling Green|
Wendell|Davis|Defense|Pittsburgh|Northwestern
Wilton|Gaby|Offense|Coastal Carolina|
Kilohana|Haasenritter|Offense|Hawai'i|
Noah|Hamlin|Defense|Toledo|
Stephen|Gosnell|Offense|North Carolina|Virginia Tech
Amani|Gilmore|Offense|North Texas|
Deondrick|Speight|Defense|Connecticut|
Tres|Barboza|Offense|UTEP|Connecticut
Landon|Guidry|Defense|Mississippi State|Samford
Bryce|McNair|Offense|Ohio|
Quincy|Riley|Defense|Middle Tennessee|Louisville
Tony|Amerson|Offense|Georgia Tech|
Johnny|Wilson|Offense|Arizona State|Florida State
Kyran|Griffin|Offense|Troy|
Tate|Heitmeier|Offense|Texas State|
Xazavian|Valladay|Offense|Wyoming|Arizona State
Jeremiah|Houston|Defense|UNLV|
Aidan|Bouman|Offense|Iowa State|
Frank|Boyd|Offense|Liberty|Norfolk State
Hirkley|Latu|Defense|UCF|
Owen|Hickey|Offense|Illinois|
Waisale|Muavesi|Defense|UNLV|UNLV
Adrian|Hope|Defense|Furman|Coastal Carolina
Jordan|Boatman|Offense|Houston|Sam Houston State
Trevion|Stevenson|Defense|North Carolina|Norfolk State
Datrone|Young|Defense|Iowa State|Duke
Keveon|Mullins|Offense|South Carolina|Jackson State
Jalen|Mackie|ILB|Dartmouth|UMass
Kolbe|Burrell|Offense|Buffalo|Northwestern State
Myles|Jackson|Defense|UCLA|Indiana
Camden|VerStrate|Offense|Washington|
Damon|Gentry Jr.|Defense|New Mexico|
Jonathan|Denis|Offense|Oregon|Miami
Kym-Mani|King|Defense|Iowa State|Florida A&M
Elijah|Jeffreys|ATH|Connecticut|
Zahodri|Jackson|Defense|Utah State|North Texas
Lavonte|Gater|Defense|Maryland|
Joriell|Washington|Defense|Illinois|Louisiana Tech
Joseph|Charleston|Defense|Clemson|Missouri
Braxton|Barker|Offense|Alabama|
Tyler|Owens|Defense|Texas|Texas Tech
Coran|Taylor|Defense|Illinois|Alabama A&M
Mohammed|Elazazy|Offense|Western Michigan|
Navy|Shuler|Offense|Appalachian State|Tennessee
Kamron|Forest|Defense|Fresno State|
Jett|Elad|Defense|Ohio|
Keelan|Cox|Defense|Alabama|
Rhett|Reilly|Offense|BYU|
Jarius|Reimonenq|Defense|Arkansas State|James Madison
Sam|Carrell|Defense|Washington State|Texas Tech
Jack|Wardzala|Defense|Bowling Green|
Malik|Hausman|Defense|Arizona|
Miles|Frazier|Offense|Florida International|LSU
Joseph|White|Defense|Virginia|
D.K.|Bonhomme|Defense|Indiana|South Alabama
Cam|Bright|Defense|Pittsburgh|Washington
Parker|Hanna|Offense|West Texas A&M|Indiana
Raashaan|Wilkins|Defense|Vanderbilt|Illinois
C'Bo|Flemister|Offense|Notre Dame|Pittsburgh
Jake|Bobo|Offense|Duke|UCLA
Martin|Laham|Offense|UMass|Lehigh
Max|Banes|Offense|Houston|Akron
Wayne|Jones|Defense|Kansas State|Charlotte
James|Robinson|Offense|Tennessee|South Alabama
Aaron|Odom|Defense|Mississippi State|Southern Mississippi
Nicktroy|Fortune|Defense|West Virginia|UT San Antonio
Marvin|Martin|Defense|Kansas State|South Alabama
Alefosio|Saipaia|Defense|Navy|
Isaiah|Connelly|Offense|Coastal Carolina|
Joe|Foucha|Defense|Arkansas|LSU
Michael|Penix Jr.|Offense|Indiana|Washington
Darius|Gooden|Defense|Rutgers|UMass
Derek|Smith|Offense|Central Michigan|
Carson|Williams|Offense|Buffalo|
Alexander|Duke|Defense|Houston|
Brian|Casteel|Offense|Arizona|Nevada
RJ|Rosales|Offense|Army|
Johnny|Hodges|Defense|Navy|TCU
Sam|Vidlak|Offense|Oregon State|Boise State
Charlie|Bostic III|Defense|San José State|
Jaxon|Player|Defense|Tulsa|Baylor
Erin|Collins|Offense|Northern Illinois|
Jason|Mercier|Defense|Florida International|Jackson State
Miles|Dickens|Defense|Georgia State|Northwestern State
Shannon|Bishop|Defense|Western Kentucky|Minnesota
Connor|Helsius|Defense|UTEP|
Gleson|Sprewell|Defense|Houston|
George|Qualls|Offense|Akron|
Kemore|Gamble|Offense|Florida|UCF
Chris|Shearin|Defense|Missouri|
Kelvin|Johnson|ILB|South Alabama|
Prudy|Calderon|Defense|Rice|
Jalen|Rayam|Defense|UAB|
DeZaun|Brooks|Defense|Eastern Michigan|
Elijah|Blades|Defense|Florida|Buffalo
Gavin|Hall|Offense|Toledo|
Ben|Bertram|Defense|New Mexico|
Alex|Navarro-Silva|Defense|Arizona|
Trey|Palmer|Offense|LSU|Nebraska
Jaquon|Griffin|Defense|Georgia Tech|
Keith|Harris|Defense|Utah State|
Mekhi|Miller|Defense|Miami (OH)|New Mexico State
Kaegun|Williams|Offense|San Diego State|
Kevin|Toth Jr.|Offense|Rutgers|Kent State
Tyrone|Taleni|Defense|Kansas State|USC
Taylor|Behl|Defense|Louisiana Monroe|
Nick|Roberts|Defense|Louisiana Monroe|SMU
Joseph|Bissinger|Offense|Virginia|SMU
Alan|Ali|Offense|SMU|TCU
Jacob|Isaia|Offense|Michigan State|Fresno State
Cammon|Cooper|Offense|Washington State|Hawai'i
Al'vonte|Woodard|Offense|Texas|Sam Houston State
Cauren|Lynch|Offense|Toledo|
Caleb|Johnson|Defense|Auburn|
Gary|Smith|Defense|Duke|UCLA
Carter|Boatwright|Offense|Florida State|Florida Atlantic
Chris|King|Defense|Buffalo|
Dashaun|Jerkins|Defense|Vanderbilt|Ole Miss
EJ|Ane|Defense|San José State|Portland State
Nicholas|Nakwaasah|Defense|Central Arkansas|North Texas
Trevor|Bycznski|PRO|Buffalo|Ashland
Zach|Williams|Offense|Arizona|
Dre|Butler|Defense|Auburn|Liberty
Dylan|Mayginnes|Offense|Washington State|Montana
Wyatt|Walton|Offense|Ohio|
Chase|Atkinson|Defense|Syracuse|
Laiatu|Latu|Defense|Washington|UCLA
Trey|Benson|Offense|Oregon|Florida State
Khalid|Martin|Defense|NC State|
Jermaine|Hamilton-Jordan|Defense|Arkansas|
Dave|Monnot III|Offense|Purdue|
Dreyden|Norwood|Defense|Texas A&M|Missouri
Geordon|Porter|Offense|Arizona State|New Mexico
James|Faminu|Offense|Houston|Temple
Michel|Dukes|Offense|Clemson|South Florida
Koy|Moore|Offense|LSU|Auburn
Charlie|Brewer|Offense|Utah|Liberty
Seth|Hayes|Offense|Arkansas State|
Marquez|Ezzard|Offense|Georgia Tech|
RaJae|Johnson|Offense|UAB|Troy
Tylus|Hancock|Defense|Florida State|
Ray|Curry Jr.|Offense|Arkansas|
Jamin|Graham|Defense|Nebraska|
Champ|Flemings|Offense|Oregon State|Arkansas State
William|Racely|Offense|Eastern Michigan|
David|Watson|Offense|Arizona|
Grady|Robison|Offense|Western Kentucky|
Isaiah|Norman|Defense|Austin Peay|Marshall
Jaren|Banks|Defense|Rice|
Xavier|Hinkle|Defense|New Mexico State|
Joey|Hobert|Offense|Washington State|Utah Tech
Miles|Fallin|Offense|Kansas|
Ashaad|Clayton|Offense|Colorado|Tulane
Enock|Makonzo|Defense|Coastal Carolina|Professional
Lawrence|Keys III|Offense|Notre Dame|Tulane
Todd|Sibley|Offense|Pittsburgh|Albany
Giovanni|Iovino|Defense|Washington State|
Michael|Shanahan|Offense|UT Martin|Texas Tech
KD|McDaniel|Defense|Kentucky|UCF
Taishan|Holmes|Defense|UMass|Northwestern
Bru|McCoy|Offense|USC|Tennessee
Austin|Henderson|Offense|Minnesota|Liberty
Jimmy|Fritzsche|Offense|Nebraska|
Tillman|Weaver|Defense|Ohio|
Cade|Cadam|Offense|Arizona State|
Dillon|Thomas|Defense|Northern Illinois|
Miles|Banks|Offense|UTEP|
Darryl|Jones|Offense|Maryland|NC State
AJ|Snow|Offense|Air Force|
Kane|Patterson|Defense|Clemson|Vanderbilt
Cross|Patton|Offense|Oregon|Nevada
Thomas|Joe-Kamara|Defense|Temple|Monmouth
Corbet|Mims|Defense|Arkansas State|Memphis
Gabe|Brown|Offense|Bowling Green|Grand Valley State
Kyle|Vantrease|Offense|Buffalo|Georgia Southern
Josiah|Miamen|Offense|Iowa|Florida International
Jamal|Camp|Offense|Georgia Tech|The Citadel
Mark|Redman|Offense|Washington|San Diego State
Jafar|Armstrong|Offense|Illinois|Western Illinois
Jacob|Gardner|Offense|Nevada|Colorado State
Ishmael|Sopsher|Defense|USC|Southwest Mississippi C.C.
Antwane|Wells|Offense|James Madison|South Carolina
Jordan|Watkins|Offense|Louisville|Ole Miss
Jacob|Rodriguez|Offense|Virginia|Texas Tech
Latrell|Fordham|Offense|Eastern Michigan|
Cameron|Wiley|Offense|Minnesota|Akron
Jadon|Haselwood|Offense|Oklahoma|Arkansas
Lamar|Mullins|Defense|Georgia State|Florida A&M
